nom_anglais,nom_francais
afghanistan,afghanistan
albania,albanie
algeria,algťrie
andorra,andorre
angola,angola
argentina,argentine
armenia,armenie
australia,australie
austria,autriche
azerbaijan,azerbaidjan
bahamas,bahamas
bahrain,bahrein
bangladesh,bangladesh
barbados,barbade
belarus,bielorussie
belgium,belgique
belize,belize
benin,bťnin
bermuda,bermudes
bhutan,bhoutan
bolivia,bolivie
bosnia,bosnie-herzegovine
botswana,botswana
brazil,bresil
brunei,brunei
bulgaria,bulgarie
burkina,burkina-faso
burundi,burundi
cabo,cap-vert
cambodia,cambodge
cameroon,cameroun
canada,canada
central,rep-centrafricaine
chad,tchad
chile,chili
china,chine
colombia,colombie
comoros,comores
congo,congo
costa,costa-rica
croatia,croatie
cuba,cuba
cyprus,chypre
czech,rep-tcheque
denmark,danemark
djibouti,djibouti
dominica,dominique
dominican,rep-dominicaine
ecuador,ťquateur
egypt,ťgypte
el,el-salvador
england,angleterre
equatorial,guinťe-ťquatoriale
eritrea,erythree
estonia,estonie
ethiopia,ethiopie
fiji,fidji
finland,finlande
france,france
gabon,gabon
gambia,gambie
georgia,georgie
germany,allemagne
ghana,ghana
greece,grece
grenada,grenade
guadeloupe,guadeloupe
guam,guam
guatemala,guatemala
guinea,guinee
guyana,guyana
haiti,haiti
honduras,honduras
hong,hong-kong
hungary,hongrie
iceland,islande
india,inde
indonesia,indonesie
iran,iran
iraq,irak
ireland,irlande
israel,israel
italy,italie
jamaica,jamaique
japan,japon
jordan,jordanie
kazakhstan,kazakhstan
kenya,kenya
kiribati,kiribati
kuwait,koweit
kyrgyzstan,kirghizistan
laos,laos
latvia,lettonie
lebanon,liban
lesotho,lesotho
liberia,liberia
libya,libye
liechtenstein,liechtenstein
lithuania,lituanie
luxembourg,luxembourg
madagascar,madagascar
malawi,malawi
malaysia,malaisie
maldives,maldives
mali,mali
malta,malte
marshall,iles-marshall
martinique,martinique
mauritania,mauritanie
mauritius,maurice
mayotte,mayotte
mexico,mexique
moldova,moldavie
monaco,monaco
mongolia,mongolie
montenegro,montenegro
montserrat,montserrat
